"taxonID","bibliographicCitation"
"ad-hoc-checklist:taxon:67b20a1a40c5e579f2d3fe9f5c8790fd"," WIJNHOVEN, H., SCHÖNHOFER, A.L. & MARTENS, J., 2007. An unidentified harvestman Leiobunum sp. alarmingly invading Europe (Opiliones). Arachnologische Mitteilungen, 34: 27-38."
"ad-hoc-checklist:taxon:69ec9a12c7a86954f2e64c8bec85bd07","www.formicidae-atlas.be "
"ad-hoc-checklist:taxon:69ec9a12c7a86954f2e64c8bec85bd07"," Dekoninck et al 2012 ATLAS België "
"ad-hoc-checklist:taxon:71cd2d15b56a3bd7b5497df60131b5d6","Kekenbosch, R. 2008. Captures d'Hasarius adansoni (Audoin, 1826) et de Thanatus vulgaris (Simon, 1870). Nieuwsbrief van de Belgische Arachnologische Vereniging, 23(1):26-27."
"ad-hoc-checklist:taxon:74af955b12d3b3cd72d88a8c169c0569","Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54."
"ad-hoc-checklist:taxon:756dc375e0ef5362b2562ba6cb786df2","ARABEL exotendatabank (10/08/2018)"
"ad-hoc-checklist:taxon:759ecf308e8859af6f44bc6c6fa2a014","Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging 25(3): 210-214."
"ad-hoc-checklist:taxon:77e44a34afadf57571bfc46461e81f9d","Belpaire, C.; De Charleroy, D. (Ed.) (1985). Onderzoek naar de gezondheidstoestand van vissen bestemd voor uitzetting. Laboratorium voor Ekologie en Faunabeheer: Leuven. 32 pp."
"ad-hoc-checklist:taxon:791e0e4fb6b3e093fb0b769a61f16788","Compère, P., 1992. Charophytes. Flora pratique des algues d’eau douce de Belgique, 4. Jardin botanique nationale de Belgique, B-1860 Meise."
"ad-hoc-checklist:taxon:798d360624ed6673b6ec47dce1b6d32c","Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37"
"ad-hoc-checklist:taxon:79e908d74f3fb118ec41efea68df4f71","Hyla databank"
