"language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","taxonID","scientificName","kingdom","phylum","order","family","genus","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:8dba1db798ac82fd23df611226c00e36","Leucothrips nigripennis O.M. Reuter 1904","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:fec1c23f4c58eef8b3fe828ed2b762a5","Parthenothrips dracaenae (Heeger 1854)","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:afbd9b90e11231cfc51a472afec2e3bb","Scirtothrips longipennis (Bagnall 1909)","Animalia","Arthropoda","Thysanoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:0113e8281580f229efe4a76588c63cec","Ectopsocus briggsi","Animalia","Arthropoda","Psocoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:384d1fdb50d88ba923d765565c9a6bb5","Ectopsocus petersi","Animalia","Arthropoda","Psocoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:cc5026821f97ab1266ca2184fb301fcd","Badonnelia titei","Animalia","Arthropoda","Psocoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:21efd7e0b9b24447b43607d280a3f2be","Cerobasis annulata","Animalia","Arthropoda","Psocoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:e1e32560bd162e5ce817ae4ceea074ec","Dorypteryx domestica","Animalia","Arthropoda","Psocoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:e8c59f026545a1039efee10a17077306","Dorypteryx longipennis","Animalia","Arthropoda","Psocoptera",,,"species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:22165020039373801f9f790631f30ebd","Dorypteryx pallida","Animalia","Arthropoda","Psocoptera",,,"species","ICZN"
