scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
Phidippus,Animalia,Arthropoda,Arachnida,,Salticidae,Phidippus,genus,ICZN,Flanders,BE,present,2009,2009,transported,stowaway_container,Phidippus cfr. regius (det. J. Van Keer). In container -at harbour company- from the USA,,terrestrial,"Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging 25(3): 210-214.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Philaeus chrysops (Poda, 1761)",Animalia,Arthropoda,Arachnida,,Salticidae,Philaeus,species,ICZN,Flanders,BE,present,2014,2014,casual,,Active in private garden,"Europe, North Africa to Near East, Turkey, Caucasus, Russia to Central Asia, Iran, Afghanistan, China, Mongolia, Korea",terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-11,Koen Van Keer,Koen Van Keer
"Pholcus opilionoides  (Schrank, 1781)",Animalia,Arthropoda,Arachnida,,Pholcidae,Pholcus,species,ICZN,Flanders,BE,present,2003,2006,established,,"Except for employment zones, also found with dozens in Ivy along railway","Europe to Azerbaijan, Egypt",terrestrial,"Van Keer, K. & Van Keer, J. 2003. In België aangetroffen exoten (Araneae) uit de collectie J. Van Keer. Nieuwsbrief van de Belgische Arachnologische Vereniging, 18(2-3):78-83.",occasional,,,2018-05-03,Tim Adriaens,Koen van Keer
Pholcus,Animalia,Arthropoda,Arachnida,,Pholcidae,Pholcus,genus,ICZN,Flanders,BE,present,2015,2015,transported,,Pholcus sp. cfr. zichyi or spilis. In stone shipment from China,,terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-12,Koen Van Keer,Koen van Keer
"Phoneutria nigriventer (Keyserling, 1891)",Animalia,Arthropoda,Arachnida,,Ctenidae,Phoneutria,species,ICZN,Flanders,BE,present,1986,1987,transported,,In department store and at grocer's (among bananas). One known import from Nicaragua,"Brazil, Uruguay, Paraguay, Argentina",terrestrial,"Baert, L. 1987. Ctenidae met bananen ingevoerd in België. Nieuwsbrief van de Belgische Arachnologische Vereniging, 2(1):34.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Phoneutria boliviensis (F. O. Pickard-Cambridge, 1897)",Animalia,Arthropoda,Arachnida,,Ctenidae,Phoneutria,species,ICZN,Flanders,BE,present,2015,2015,transported,,"Among bananas, originary from Colombia, in department store","Central, South America",terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-11,Koen Van Keer,Koen Van Keer
"Phormictopus cancerides (Latreille, 1806)",Animalia,Arthropoda,Arachnida,,Theraphosidae,Phormictopus,species,ICZN,Flanders,BE,present,2008,2008,transported,,"In ""biological"" cacao-shipment from the Dominican Republic",Caribbean to Brazil,terrestrial,"Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief van de Belgische Arachnologische Vereniging 25(3): 210-214.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Plexippus paykulli (Audouin, 1826)",Animalia,Arthropoda,Arachnida,,Salticidae,Plexippus,species,ICZN,Flanders,BE,present,2001,2001,transported,stowaway_container,In container from New Orleans (USA) in transshipment company,Africa,terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Saitis barbipes (Simon, 1868)",Animalia,Arthropoda,Arachnida,,Salticidae,Saitis,species,ICZN,Flanders,BE,present,2006,2009,casual,,Once in non-import related context,"Northern Africa, southern Europe to Turkey",terrestrial,"Lambeets, K., Bosmans, R. & Bonte, D. 2007. Two exotic spider species (Araneae), Zoropsis spinimana (Zoropsidae) and Saitis barbipes (Salticidae), recently found in the inner city of Ghent (Belgium). Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):55-60.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Saitis barbipes (Simon, 1868)",Animalia,Arthropoda,Arachnida,,Salticidae,Saitis,species,ICZN,Wallonia,BE,present,2013,2013,casual,,In non-import related context,"Northern Africa, southern Europe to Turkey",terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-11,Koen Van Keer,Koen Van Keer
