scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
Favolaschia calocera R.Heim,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Favolaschia,species,ICN,Flanders,BE,present,2019,,established,contaminant_timber,"first record 23/10/2019 de Palingbeek (Zillebeke, West-Vlaanderen)",,terrestrial,https://www.natuurpunt.be/nieuws/favolaschia-calocera-een-nieuwkomer-uit-de-tropen-20191031,,,,2019-11-03,Tim Adriaens,
"Bipalium kewense Moseley, 1878",Animalia,Platyhelminthes,Rhabditophora,Tricladida,Geoplanidae,Bipalium,species,ICZN,Flanders,BE,present,,,captive,contaminant_habitat_material,Plantentuin Meise,Southeast Asia,terrestrial,Tom Van den Neucker,,,,2020-03-16,Tim Adriaens,
"Kontikia ventrolineata (Dendy, 1892)",Animalia,Platyhelminthes,,Tricladida,Geoplanidae,Kontikia,species,ICZN,Flanders,BE,present,2016,,captive,contaminant_nursery,Victoriakas van de plantentuin van Gent.,,freshwater,Tom Van den Neucker,,,,2020-03-16,Tim Adriaens,
"Dolichoplana signata Graff, 1899",Animalia,Platyhelminthes,,Tricladida,Geoplanidae,Dolichoplana,species,ICZN,Flanders,BE,present,,,captive,contaminant_nursery,Plantentuin Meise,,terrestrial,Tom Van den Neucker,,,,2020-03-16,Tim Adriaens,
"Dolichoplana striata Moseley, 1877",Animalia,Platyhelminthes,,Tricladida,Geoplanidae,Dolichoplana,species,ICZN,Flanders,BE,present,,,captive,contaminant_nursery,kruidtuin van Leuven,,terrestrial,Tom Van den Neucker,,,,2020-03-16,Tim Adriaens,
"Caenoplana coerulea Moseley, 1877",Animalia,Platyhelminthes,,Tricladida,Geoplanidae,Dolichoplana,species,ICZN,Flanders,BE,present,,,captive,contaminant_nursery,Plantentuin Meise,Australia,terrestrial,Tom Van den Neucker,,,,2020-03-16,Tim Adriaens,
Seifertia azaleae (Peck) Partr. & Morgan-Jones,Fungi,,,,,,species,ICN,Flanders,BE,present,2002,2020,established,contaminant_nursery,,,terrestrial,,,,Rhododendron,2020-03-26,Tim Adriaens,
"Otiorhynchus cribricollis Gyllenhal, 1834",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,species,ICZN,Flanders,BE,present,2002,,,contaminant_on_plants,Oleaceae,,terrestrial,"Drumont et al. 2018 Note sur quelques espèces invasives d'Otiorhynchus Germar, 1822 en Belgique (Coleoptera: Curculionidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische vereniging voor entomologie 154 : 97–104",,,,2020-07-05,Tim Adriaens,
"Otiorhynchus indefinitus Reitter, 1912",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,species,ICZN,Wallonia,BE,present,2016,,,contaminant_on_plants,Ligustrum,,terrestrial,"Drumont et al. 2018 Note sur quelques espèces invasives d'Otiorhynchus Germar, 1822 en Belgique (Coleoptera: Curculionidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische vereniging voor entomologie 154 : 97–104",,,,2020-07-05,Tim Adriaens,
"Otiorhynchus aurifer Boheman, 1843",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,species,ICZN,Flanders,BE,present,2017,,,contaminant_on_plants,,,terrestrial,"Drumont et al. 2018 Note sur quelques espèces invasives d'Otiorhynchus Germar, 1822 en Belgique (Coleoptera: Curculionidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische vereniging voor entomologie 154 : 97–104",,,,2020-07-05,Tim Adriaens,
"Otiorhynchus meridionalis Gyllenhal, 1834",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,species,ICZN,Flanders,BE,present,2016,,,contaminant_on_plants,,,terrestrial,"Drumont et al. 2018 Note sur quelques espèces invasives d'Otiorhynchus Germar, 1822 en Belgique (Coleoptera: Curculionidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische vereniging voor entomologie 154 : 97–104",,,,2020-07-05,Tim Adriaens,
"Otiorhynchus meridionalis Gyllenhal, 1834",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,species,ICZN,Brussels,BE,present,2016,,,contaminant_on_plants,,,terrestrial,"Drumont et al. 2018 Note sur quelques espèces invasives d'Otiorhynchus Germar, 1822 en Belgique (Coleoptera: Curculionidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische vereniging voor entomologie 154 : 97–104",,,,2020-07-05,Tim Adriaens,
"Otiorhynchus meridionalis Gyllenhal, 1834",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,species,ICZN,Wallonia,BE,present,2003,2016,,contaminant_on_plants,,,terrestrial,"Drumont et al. 2018 Note sur quelques espèces invasives d'Otiorhynchus Germar, 1822 en Belgique (Coleoptera: Curculionidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische vereniging voor entomologie 154 : 97–104",,,,2020-07-05,Tim Adriaens,
"Otiorhynchus aurifer Boheman, 1843",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,species,ICZN,Brussels,BE,present,2015,,,contaminant_on_plants,,,terrestrial,"Drumont et al. 2018 Note sur quelques espèces invasives d'Otiorhynchus Germar, 1822 en Belgique (Coleoptera: Curculionidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische vereniging voor entomologie 154 : 97–104",,,,2020-07-05,Tim Adriaens,
"Otiorhynchus cribricollis Gyllenhal, 1834",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,species,ICZN,Wallonia,BE,present,2016,,,contaminant_on_plants,Oleaceae,,terrestrial,"Drumont et al. 2018 Note sur quelques espèces invasives d'Otiorhynchus Germar, 1822 en Belgique (Coleoptera: Curculionidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische vereniging voor entomologie 154 : 97–104",,,,2020-07-05,Tim Adriaens,
"Otiorhynchus aurifer Boheman, 1843",Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,species,ICZN,Wallonia,BE,present,1999,,,contaminant_on_plants,,,terrestrial,"Drumont et al. 2018 Note sur quelques espèces invasives d'Otiorhynchus Germar, 1822 en Belgique (Coleoptera: Curculionidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische vereniging voor entomologie 154 : 97–104",,,,2020-07-05,Tim Adriaens,
"Tuta absoluta (Meyrick, 1917)",Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Tuta,species,ICZN,Flanders,BE,present,2009,,,contaminant_on_plants,,,terrestrial,,,,,2020-07-05,Tim Adriaens,
"Trachemys scripta (Thunberg In Schoepff, 1792)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,species,ICZN,Flanders,BE,present,1975,2020,casual,escape_pet | release_other,,North America,freshwater,Anonymus 2008,,,,2018-05-12,Tim Adriaens,
"Pantherophis guttatus (Linnaeus, 1766)",Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis,species,ICZN,Flanders,BE,present,2015,,casual,escape_pet,,,terrestrial,,,,,2020-05-19,Tim Adriaens,
